,,cCpu0TIME,cCpu1TIME,cCpu2TIME,cCpu3TIME,cCpu4TIME,cCpu5TIME,cCpu6TIME,cCpu7TIME,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMemoryMaxUsed,cMemoryUsed,cMetricType,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,currentTime,pMetricType,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vLoadAvg,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent
2018_12_05__02_43_45.json,23,457477950,498053344,2349643899,22723598052,487417417,485319861,1640030996,945488491,29544245906,312,2595,0,0,186454016,f9bd510f3f01,1609486336,1202225152,Container level,25960464,110249,3,8,1543977825,Process level,1329316,1438080,2300.108,0,5338,86873,4838,0,8917,12,77956,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4259,29080,771463,9546608,9203,41749,5207748,unavailable,0.43,34920,475300,30998832,32939556,VM level,25960464,110249
2018_12_05__02_43_46.json,24,477694161,515333140,2373701449,23811567456,506653148,503978149,1660897558,969217583,30771903598,365,2665,0,0,186458112,f9bd510f3f01,2322026496,2320289792,Container level,25960464,110249,3,8,1543977826,Process level,1330547,1438824,2300.108,0,5338,86995,4839,0,8966,12,78029,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547112,9203,41778,5207752,unavailable,0.43,34920,475304,29961416,32939556,VM level,25960464,110249
2018_12_05__02_43_47.json,25,496531089,533808422,2393144001,24894658483,530978565,523073710,1685417016,992033256,32002970482,396,2756,0,0,186462208,f9bd510f3f01,2819608576,2818097152,Container level,25960464,110249,3,8,1543977827,Process level,1331873,1439571,2300.108,0,5338,87116,4839,0,8998,12,78118,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547120,9203,41779,5207752,unavailable,0.48,34920,475308,29423176,32939556,VM level,25960464,110249
2018_12_05__02_43_48.json,26,512380776,552745382,2420910908,25973903183,550428111,540758718,1706874384,1015372521,33230946331,406,2864,0,0,186466304,f9bd510f3f01,2819813376,2009702400,Container level,25960464,110249,3,8,1543977828,Process level,1333128,1440316,2300.108,0,5339,87238,4839,0,9012,12,78226,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547128,9203,41780,5207752,unavailable,0.48,34920,475312,30210596,32939556,VM level,25960464,110249
2018_12_05__02_43_49.json,27,536131999,573189481,2439088903,27049137111,569550403,556177900,1729892434,1047050464,34453746252,414,2977,0,0,186470400,f9bd510f3f01,2819813376,2010439680,Container level,25960464,110249,3,8,1543977829,Process level,1334358,1441061,2300.108,0,5339,87357,4839,0,9019,12,78338,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547136,9203,41781,5207756,unavailable,0.48,34920,475316,30210428,32939556,VM level,25960464,110249
2018_12_05__02_43_50.json,28,558572176,594172440,2458189952,28126620696,589356288,576409820,1750488994,1070795700,35678413429,422,3089,0,0,186474496,f9bd510f3f01,2819813376,2010320896,Container level,25960464,110249,3,8,1543977830,Process level,1335624,1441806,2300.108,0,5339,87478,4839,0,9027,12,78451,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547144,9203,41782,5207756,unavailable,0.48,34920,475320,30211136,32939556,VM level,25960464,110249
2018_12_05__02_43_51.json,29,578989004,614062419,2476320480,29201646896,613086437,601159320,1769417624,1092674669,36902387922,432,3201,0,0,186478592,f9bd510f3f01,2819813376,2011918336,Container level,25960464,110249,3,8,1543977831,Process level,1336848,1442550,2300.108,0,5339,87599,4839,0,9037,12,78562,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547152,9203,41783,5207756,unavailable,0.52,34920,475324,30210556,32939556,VM level,25960464,110249
2018_12_05__02_43_52.json,30,598226749,638074989,2498113741,30277477972,632553431,620044890,1789281727,1118451623,38125580338,441,3312,0,0,186482688,f9bd510f3f01,2819813376,2013106176,Container level,25960464,110249,3,8,1543977832,Process level,1338100,1443294,2300.108,0,5339,87721,4839,0,9047,12,78674,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547160,9203,41784,5207756,unavailable,0.52,34920,475328,30209784,32939556,VM level,25960464,110249
2018_12_05__02_43_53.json,31,619284765,661171080,2518312928,31359559024,648979765,641811002,1809289642,1138210162,39350548245,451,3425,0,0,186486784,f9bd510f3f01,2819813376,2010791936,Container level,25960464,110249,3,8,1543977833,Process level,1339402,1444038,2300.108,0,5339,87842,4839,0,9054,12,78788,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547168,9203,41785,5207756,unavailable,0.52,34920,475332,30209788,32939556,VM level,25960464,110249
2018_12_05__02_43_54.json,32,638652379,680590222,2539195338,32438546526,670038563,660848167,1830207403,1163590753,40574743441,463,3535,0,0,186490880,f9bd510f3f01,2819813376,2009772032,Container level,25960534,110249,3,8,1543977834,Process level,1340642,1444782,2300.108,0,5339,87966,4839,0,9068,12,78898,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547176,9203,41786,5207756,unavailable,0.52,34920,475336,30209704,32939556,VM level,25960534,110249
