,,cCpu0TIME,cCpu1TIME,cCpu2TIME,cCpu3TIME,cCpu4TIME,cCpu5TIME,cCpu6TIME,cCpu7TIME,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMemoryMaxUsed,cMemoryUsed,cMetricType,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,currentTime,pMetricType,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vLoadAvg,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent
2018_12_12__19_29_06.json,32,5329174491,11571387788,9077442005,25036173000,8151225833,4309807710,4941778512,3878688245,72206423337,644,6474,0,0,186585088,6bad1904105c,3850772480,3848396800,Container level,25962609,94160,11,8,1544642946,Process level,1132174,554327,2300.105,585,4803,157669,2753,0,4516,13,153153,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976440,51488,7761,156376,unavailable,2.35,45484,5845144,22996056,32939552,VM level,25962609,94160
2018_12_12__19_29_07.json,33,5679807719,11632902260,9270760316,25856627504,8604954474,5388988443,5556929060,3953216547,75842850785,668,6813,0,0,186589184,6bad1904105c,3851329536,3848704000,Container level,25962609,94160,11,8,1544642947,Process level,1134397,554904,2300.105,585,4804,158030,2753,0,4536,13,153494,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976472,51488,7765,156376,unavailable,2.35,45484,5845152,22993928,32939552,VM level,25962609,94160
2018_12_12__19_29_08.json,34,5910634867,11717962270,9702526102,26739590388,9198680579,6127952746,6146893260,4014525456,79478965039,689,7151,0,0,186593280,6bad1904105c,3851538432,3850514432,Container level,25962609,94160,11,8,1544642948,Process level,1136571,555486,2300.105,585,4804,158390,2753,0,4559,13,153831,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976480,51488,7766,156376,unavailable,2.35,45484,5845160,22994180,32939552,VM level,25962609,94160
2018_12_12__19_29_10.json,36,6426437095,11782574907,10323511661,27482071523,9793334473,6906148661,6408939403,4089726961,83099653142,710,7488,0,0,186597376,6bad1904105c,3851608064,3847774208,Container level,25962609,94160,11,8,1544642950,Process level,1138768,556066,2300.105,585,4804,158751,2753,0,4581,13,154170,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976488,51488,7767,156376,unavailable,2.35,45484,5845168,22993356,32939552,VM level,25962609,94160
2018_12_12__19_29_11.json,37,7020624883,11867121814,10927004964,28433843136,10110531815,7624081319,6753556946,4170756164,86805560640,728,7834,0,0,186601472,6bad1904105c,3851608064,3846696960,Container level,25962609,94160,11,8,1544642951,Process level,1141026,556654,2300.105,585,4804,159116,2753,0,4602,13,154514,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976496,51488,7768,156376,unavailable,2.4,45484,5845176,22995540,32939552,VM level,25962609,94160
2018_12_12__19_29_12.json,38,7546941033,11928673011,11262883888,29155172194,10398565414,8649657019,7361968193,4245219941,90459081891,747,8176,0,0,186605568,6bad1904105c,3851608064,3848830976,Container level,25962609,94160,11,8,1544642952,Process level,1143208,557236,2300.105,585,4804,159473,2753,0,4619,13,154854,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976544,51488,7774,156380,unavailable,2.4,45484,5845184,22995248,32939552,VM level,25962609,94160
2018_12_12__19_29_13.json,39,7761569174,11996155413,11540197163,30147429933,10969244059,9536033655,7967242711,4312539993,94140298804,770,8518,0,0,186609664,6bad1904105c,3851608064,3848310784,Container level,25962609,94160,11,8,1544642953,Process level,1145441,557813,2300.105,585,4805,159839,2753,0,4642,13,155197,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976552,51488,7775,156380,unavailable,2.4,45484,5845192,22995620,32939552,VM level,25962609,94160
2018_12_12__19_29_14.json,40,8154749580,12054546386,12075005385,30906792890,11558374029,10248669401,8382329379,4377000692,97690876697,793,8848,0,0,186613760,6bad1904105c,3852288000,3850866688,Container level,25962609,94160,11,8,1544642954,Process level,1147657,558397,2300.105,585,4805,160196,2753,0,4664,13,155532,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976560,51488,7776,156384,unavailable,2.4,45484,5845200,22995040,32939552,VM level,25962609,94160
2018_12_12__19_29_15.json,41,8747555556,12146373050,12651021842,31809131715,12037908528,10980526993,8578774335,4431566784,101271147835,809,9182,0,0,186617856,6bad1904105c,3852288000,3845877760,Container level,25962609,94160,11,8,1544642955,Process level,1149829,558986,2300.105,585,4805,160543,2753,0,4683,13,155860,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6823,102968,11207599,976568,51488,7777,156384,unavailable,2.45,45484,5845208,22996164,32939552,VM level,25962609,94160
2018_12_12__19_29_17.json,43,9353515343,12209221798,13174395652,32667246903,12221702096,11794158726,9077626440,4493870853,104902369627,831,9522,0,0,186621952,6bad1904105c,3852288000,3849613312,Container level,25962609,94160,11,8,1544642957,Process level,1152043,559583,2300.105,585,4805,160904,2753,0,4703,13,156201,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977112,51488,7816,156384,unavailable,2.45,45484,5845216,22994224,32939552,VM level,25962609,94160
